,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
104,0.5675496688741721,10,3323,0,33,0,3268,172,576,17,3150,1161,2431,1675
44,0.4951986754966887,8,3633,0,70,0,3568,101,1159,0,3580,945,1787,1179
124,0.49503311258278143,12,3656,0,57,0,3618,55,408,0,1105,960,2712,1256
64,0.477317880794702,6,3750,0,17,0,3605,32,154,0,51,782,2106,1171
113,0.4423841059602649,7,3920,0,11,0,2363,26,30,0,0,738,1532,837
48,0.4392384105960265,11,3929,0,49,0,3661,75,453,0,3601,1108,2599,1079
97,0.43857615894039736,6,3915,0,23,0,3329,14,93,0,250,781,1835,753
132,0.4288079470198676,11,3987,0,48,0,2957,93,526,0,2065,815,1481,700
22,0.42764900662251654,8,3499,0,14,0,3286,26,64,0,1,771,624,999
128,0.42682119205298014,15,3968,0,57,0,3760,88,467,1,2944,834,2126,1010
189,0.42019867549668877,5,4001,0,10,0,2682,6,10,0,0,612,2019,636
127,0.4162251655629139,10,2254,0,62,0,2942,66,1234,0,3988,952,1134,915
51,0.4160596026490066,7,2798,0,33,0,2478,60,151,0,622,780,2375,930
38,0.40711920529801326,12,1993,0,21,0,1855,54,1088,28,3414,939,2267,1017
92,0.40447019867549666,11,1635,0,29,0,1333,46,572,18,802,905,653,752
134,0.3922185430463576,11,1556,0,30,0,1528,31,29,0,5,826,1449,1052
5,0.3837748344370861,7,1080,0,46,0,910,25,226,2,1464,623,500,738
23,0.38145695364238413,9,1139,0,47,0,831,66,1671,87,4114,868,898,776
246,0.37880794701986753,9,724,0,38,0,838,10,0,0,447,722,984,754
116,0.37715231788079473,12,829,0,26,0,1013,18,1,0,0,449,1373,857
26,0.37566225165562916,8,371,0,20,0,382,24,33,0,0,506,1812,500
60,0.37251655629139074,12,595,0,5,0,519,30,26,0,0,529,685,523
184,0.3710264900662252,10,580,0,53,0,388,52,145,1,22,694,1219,974
167,0.36870860927152316,11,331,0,75,0,492,70,2164,84,4254,862,1388,677
669,0.36804635761589405,7,483,0,83,0,994,187,1603,45,4229,574,1361,786
171,0.36324503311258277,11,300,0,8,0,876,85,400,0,0,402,387,590
273,0.3610927152317881,12,268,0,25,0,609,13,16,0,0,597,139,565
244,0.35943708609271524,8,168,0,44,0,356,159,680,0,46,670,192,579
217,0.34735099337748343,12,183,0,20,0,477,31,153,0,68,477,352,497
40,0.3438741721854305,11,190,0,35,0,365,26,85,0,5,437,266,530
209,0.3350993377483444,9,173,0,33,0,258,38,86,0,36,438,449,535
62,0.3304635761589404,7,114,0,8,0,291,3,0,0,0,315,308,375
151,0.3302980132450331,8,120,0,21,0,220,4,24,0,0,315,374,319
68,0.3185430463576159,10,114,0,23,0,98,84,344,0,41,413,94,541
714,0.30132450331125826,12,77,0,21,0,77,73,140,0,6,305,565,365
743,0.2980132450331126,21,78,0,87,0,96,27,104,4,452,299,77,372
218,0.2978476821192053,11,93,0,2,0,83,7,6,0,0,307,1,192
84,0.2955298013245033,5,88,0,17,0,49,0,1,0,0,445,8,144
259,0.29519867549668877,13,52,0,57,0,28,62,1393,183,3344,552,164,292
381,0.2899006622516556,10,68,0,13,0,65,26,39,0,0,263,6,363
15,0.28658940397350996,10,24,0,24,0,24,92,95,0,0,383,273,173
160,0.28642384105960267,10,21,0,5,0,182,19,74,0,0,223,325,226
733,0.2860927152317881,13,58,0,12,0,20,5,14,0,0,261,341,223
0,0.2855960264900662,4,23,0,61,0,271,34,236,23,2522,348,629,448
9,0.28443708609271523,12,31,0,48,0,117,84,373,0,13,289,168,332
662,0.28410596026490065,9,9,0,45,0,109,54,27,0,0,247,400,270
277,0.28394039735099336,8,6,0,8,0,60,2,0,0,0,189,169,173
4,0.281953642384106,8,50,0,8,0,37,4,0,0,0,472,395,429
213,0.2809602649006622,13,19,0,18,0,37,43,133,0,0,331,341,190
434,0.2801324503311258,5,17,0,68,0,108,84,441,4,492,432,427,364
420,0.2763245033112583,12,10,0,73,0,252,102,650,69,2383,398,963,562
210,0.2758278145695364,5,6,0,20,0,31,47,268,8,2,259,313,187
67,0.27433774834437086,9,5,0,58,0,39,45,261,0,250,374,320,274
78,0.27350993377483446,6,10,0,9,0,44,4,12,0,0,242,173,206
264,0.2731788079470199,14,4,0,3,0,126,6,5,0,0,175,103,115
186,0.2695364238410596,12,4,0,30,0,27,4,106,0,0,159,147,183
711,0.26937086092715234,9,4,0,6,0,36,1,14,0,0,122,62,242
206,0.26473509933774836,11,5,0,56,0,51,116,368,1,179,280,57,97
50,0.26241721854304634,6,5,0,27,0,3,63,176,12,8,359,25,270
547,0.2596026490066225,10,6,0,20,0,5,4,27,0,0,301,6,335
280,0.25629139072847684,12,4,0,26,0,18,4,94,0,12,353,251,272
27,0.25596026490066226,6,3,0,9,0,9,86,92,0,0,147,169,231
168,0.2548013245033113,11,1,0,10,0,2,7,1,0,0,217,10,123
58,0.25281456953642384,12,0,0,7,0,109,2,0,0,0,105,145,48
315,0.25198675496688744,7,6,0,38,0,27,3,0,0,0,298,103,306
237,0.2501655629139073,14,5,0,18,0,11,6,4,0,0,277,18,270
376,0.2501655629139073,10,3,0,30,0,7,1,9,0,0,189,18,54
642,0.24751655629139072,7,1,0,11,0,8,1,0,0,0,92,197,84
19,0.24685430463576158,9,0,0,17,0,1,0,1,0,0,170,3,83
283,0.24387417218543048,13,1,0,18,0,5,7,0,0,0,144,0,89
13,0.24387417218543048,7,0,0,25,0,2,25,4,0,0,320,0,260
123,0.2402317880794702,10,2,0,13,0,0,64,32,0,0,29,23,18
96,0.2402317880794702,14,1,0,25,0,11,7,0,0,0,135,11,88
317,0.2402317880794702,10,0,0,28,0,17,156,203,4,0,361,159,351
643,0.23973509933774834,7,0,0,9,0,21,12,28,0,0,212,191,223
352,0.23741721854304637,8,0,0,6,0,32,67,38,0,0,313,4,274
177,0.23741721854304637,12,0,0,43,0,4,44,1,0,0,199,2,118
587,0.2369205298013245,15,0,0,4,0,8,2,6,0,0,63,15,97
164,0.23576158940397351,13,0,0,7,0,30,8,1,0,0,128,70,217
