,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
104,0.5675496688741721,10,713,663,481,646,709,476,575,629,713,617,665,615
44,0.4951986754966887,7,586,477,430,450,583,415,508,578,586,465,535,495
124,0.49503311258278143,11,608,325,402,326,606,362,452,509,598,477,585,526
64,0.477317880794702,7,595,164,327,208,590,314,343,375,542,413,553,500
113,0.4423841059602649,9,554,111,266,140,537,221,246,198,319,382,498,438
48,0.4392384105960265,14,544,520,379,486,531,351,434,486,544,416,493,423
97,0.43857615894039736,7,526,343,298,320,517,249,296,302,484,399,470,395
132,0.4288079470198676,12,538,498,337,482,525,337,412,474,533,408,474,413
22,0.42764900662251654,17,557,139,255,147,543,258,274,268,524,382,442,435
128,0.42682119205298014,14,508,488,335,466,502,319,412,466,508,387,455,399
189,0.42019867549668877,13,501,132,203,143,487,173,172,149,285,331,437,376
127,0.4162251655629139,5,498,435,334,415,484,381,430,491,498,397,425,391
51,0.4160596026490066,10,489,336,279,292,465,237,352,393,489,377,398,371
38,0.40711920529801326,15,463,461,273,452,452,337,390,432,462,368,411,357
92,0.40447019867549666,17,487,383,278,357,466,263,336,372,479,350,400,348
134,0.3922185430463576,13,469,317,289,258,438,239,305,316,444,355,370,328
5,0.3837748344370861,18,469,397,299,354,459,284,348,400,469,367,364,348
23,0.38145695364238413,14,455,450,293,429,430,347,414,451,455,369,369,342
246,0.37880794701986753,5,451,314,305,244,420,243,314,344,451,326,372,338
116,0.37715231788079473,10,440,95,235,94,417,178,158,188,333,337,369,323
26,0.37566225165562916,2,487,169,222,160,455,202,226,207,292,320,424,365
60,0.37251655629139074,8,450,85,172,96,426,178,162,111,222,261,379,336
184,0.3710264900662252,7,446,379,297,352,420,254,315,322,438,354,372,330
167,0.36870860927152316,8,446,442,306,441,415,346,409,444,447,339,354,316
669,0.36804635761589405,18,436,417,328,406,398,306,385,434,437,329,352,334
171,0.36324503311258277,10,416,288,171,239,398,232,254,266,353,312,333,317
273,0.3610927152317881,12,426,142,218,140,411,153,168,171,307,283,316,281
244,0.35943708609271524,6,437,330,285,304,397,273,334,380,436,308,303,312
217,0.34735099337748343,7,359,181,192,187,343,186,205,236,309,274,279,271
40,0.3438741721854305,9,412,265,238,231,382,222,260,280,395,268,300,265
209,0.3350993377483444,8,404,254,266,228,374,222,259,250,338,277,296,286
62,0.3304635761589404,7,390,100,168,104,361,116,108,98,141,283,295,284
151,0.3302980132450331,14,384,254,216,245,339,184,210,242,284,268,277,231
