,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
591,0.463,2,271,89,64,72,263,51,143,86,60,138,202,195
657,0.453,5,282,185,94,196,267,55,282,174,130,213,220,212
4,0.44166666666666665,1,274,86,69,89,270,52,222,109,99,163,251,225
27,0.43233333333333335,2,259,115,55,127,254,47,255,100,123,197,235,195
579,0.43,2,255,114,78,108,240,42,237,86,56,156,180,191
617,0.41833333333333333,2,254,243,83,222,248,46,254,127,72,165,175,183
15,0.4166666666666667,1,250,81,71,87,235,38,247,118,71,165,173,165
592,0.4043333333333333,3,249,73,49,62,236,53,98,66,58,146,188,172
581,0.393,3,210,123,61,135,201,47,210,127,46,113,156,131
937,0.38033333333333336,1,221,107,58,102,187,54,220,107,45,157,161,145
602,0.37733333333333335,2,213,24,31,35,199,36,147,77,30,108,171,133
1,0.375,3,230,55,44,46,215,41,201,68,90,132,159,150
984,0.37,4,213,50,55,48,204,37,147,62,81,127,168,130
576,0.36133333333333334,4,212,38,63,48,197,39,138,60,36,130,94,128
603,0.36,1,223,46,48,55,194,43,178,71,50,143,175,129
612,0.35333333333333333,1,215,94,41,96,204,31,117,68,87,104,160,105
25,0.352,4,225,117,44,114,187,52,216,90,59,133,168,144
59,0.3396666666666667,3,204,71,34,67,188,40,59,61,53,81,135,126
35,0.33866666666666667,0,207,95,45,99,187,40,175,83,65,121,144,107
1297,0.33766666666666667,2,208,113,63,109,172,40,192,104,82,138,158,134
201,0.33466666666666667,2,182,132,43,137,172,36,182,98,77,132,116,120
607,0.33066666666666666,2,206,44,45,54,183,30,102,53,51,96,122,127
2354,0.32966666666666666,2,196,83,28,74,173,32,101,62,58,83,142,119
611,0.32866666666666666,1,192,41,30,51,181,32,16,36,16,75,169,127
638,0.3273333333333333,3,213,27,44,34,178,31,43,37,72,97,121,117
622,0.31366666666666665,5,193,62,44,59,173,25,83,44,10,81,123,101
586,0.31233333333333335,4,176,25,41,23,151,41,21,40,53,81,107,101
43,0.31133333333333335,1,194,18,32,25,174,30,58,28,66,103,129,130
594,0.307,2,177,19,43,24,146,33,39,38,51,78,105,93
1257,0.306,3,166,39,37,34,137,35,62,34,40,92,111,100
597,0.306,2,184,56,42,55,155,31,139,56,57,92,103,94
945,0.30333333333333334,3,167,30,41,30,148,26,27,40,78,68,76,85
32,0.302,3,184,19,32,29,157,32,75,67,44,83,143,120
665,0.3016666666666667,1,179,44,26,33,160,23,21,37,23,71,117,85
2032,0.30133333333333334,3,178,79,37,60,154,34,39,56,63,70,98,106
973,0.297,1,160,17,29,17,129,35,30,31,30,86,120,77
1616,0.2956666666666667,0,162,111,39,110,151,36,158,97,66,103,137,95
953,0.2956666666666667,1,186,84,67,77,143,45,171,67,53,113,127,110
986,0.2956666666666667,3,183,60,41,57,154,33,81,75,74,115,139,105
11,0.295,1,173,88,47,93,144,29,94,72,37,76,114,105
658,0.2946666666666667,2,161,41,32,43,146,25,118,45,71,80,88,89
12,0.29033333333333333,4,169,33,41,39,137,27,52,35,62,92,106,89
685,0.2866666666666667,4,170,9,41,14,153,29,15,13,32,79,137,108
2016,0.281,5,161,82,40,68,132,23,156,73,20,77,86,95
588,0.281,3,157,124,34,117,142,21,161,76,48,107,85,96
625,0.278,3,160,133,33,118,141,33,139,76,42,97,125,105
