,low-med,low-high,med-high
Random,0.07374787625294857,0.1606563982309908,0.9512151021417933
MostPop,2.0658004378196058e-33,1.4627721957882206e-47,1.1482113195244712e-30
UserKNN,0.47558926007650437,0.8442136200007277,0.34219159455559056
ItemKNN,0.8799388340494694,0.02059117622095924,0.0008238898681704407
UserKNN with means,0.17719883430231578,0.20770672197023615,0.9240728720210278
BPR,1.871377412965088e-33,1.3567191488932102e-47,1.180141810422835e-30
MF,8.579385293887141e-06,0.02604180727665385,0.20882269939043496
PMF,2.7968520213928064e-07,1.217778815049117e-07,0.0139902644858027
NMF,0.33817462163211387,0.3477416579118584,0.018294230679517208
WMF,0.055204803364829275,2.1334241988136263e-08,2.71373923136588e-06
HPF,1.7485309878113065e-14,3.498373499687078e-22,6.087499572673756e-11
NeuMF,4.469093476731626e-31,5.3212238872897435e-42,8.04207845680157e-27
VAECF,1.972689753516219e-17,2.028068499340205e-40,1.2747675627308829e-22
