,low-med,low-high,med-high
Random,0.18889463154521569,0.5120570835318874,0.5900501883642467
MostPop,7.0435773934684735e-34,2.548704320442135e-49,1.3939487214138047e-31
UserKNN,0.4653644504311555,0.8531280670174974,0.34219159455559056
ItemKNN,0.608338294906356,0.036721444606683515,0.02762155010695806
UserKNN with means,0.11750328777498446,0.14441960241854834,0.9240728720210278
BPR,5.586204568861582e-34,1.9901261257071336e-49,1.2439777583378725e-31
MF,4.24276155436191e-06,0.00522069265224012,0.4808801370948904
PMF,2.430252106062925e-07,4.79653556319661e-08,0.006159752791200606
NMF,0.33817462163211387,0.3477416579118584,0.018294230679517208
WMF,0.6011584467155993,0.0010092890588635666,9.36719504298148e-06
HPF,2.9876350238224688e-15,7.670193534001801e-24,7.0386068499971205e-12
NeuMF,7.835488478699704e-32,6.247900820464081e-43,5.244200092210951e-27
VAECF,2.4059849924390123e-13,1.9097504242875023e-39,7.704955428613658e-23
