,low-med,low-high,med-high
Random,0.9323682833010462,0.5554053648236816,0.5284883453851155
MostPop,0.01303134017631407,0.9714718057748396,0.029318649956195975
UserKNN,0.041052792855314914,0.5580665389151773,0.007001363137314766
ItemKNN,4.695502926612477e-09,0.0144917330315412,0.04361397795452826
UserKNN with means,2.0344417981164963e-05,0.6374483447058727,0.0015909260296825222
BPR,0.012227380407863257,0.8805610330900903,0.03637495391026581
MF,0.11813538250527761,0.3300077388955295,0.005642660142973928
PMF,0.007767753902945875,0.5173862870663438,0.07777035191433805
NMF,0.02377963781814065,0.45115569695152,0.17969668403599084
WMF,0.0032968227841680404,0.32034275313206806,4.055905040936694e-05
HPF,0.018792832640903773,0.6145401056535468,0.11605927113132944
NeuMF,0.002442449354715062,0.6647793876502137,0.023393934300966174
VAECF,0.04324734908358712,0.6093884291299967,0.010461436725646329
