,low-med,low-high,med-high
MostPop,0.05805003167664107,0.3985202495244651,0.3099781881044263
UserKNN,0.01712059940968206,0.010121569329914804,0.08378636450458862
ItemKNN,5.401932515376874e-34,4.3789584046531283e-91,1.8172193863980143e-104
UserKNN with means,0.023166033436380892,0.023166033436380892,
BPR,0.5282205886062767,0.0007633282090106945,0.00021573484733508372
MF,5.343970698678331e-18,8.506584401064903e-50,6.92697488055804e-30
PMF,0.0006521658179326321,3.8365741655590535e-05,0.10220543850452554
NMF,8.614427421050067e-05,5.9646799691139695e-06,0.13869097629937688
WMF,0.6516211036387749,0.6085638587382214,0.8683579933904605
HPF,0.010930211554453843,1.5270478142262653e-09,7.599757713914146e-07
NeuMF,0.2986859597871574,0.024271541118164566,5.879397079642728e-05
VAECF,0.41503969404915686,6.734668633760207e-05,4.749224965775177e-05
