,low-med,low-high,med-high
Random,0.0005243884418539305,1.435168243620959e-08,0.0004355602001884021
MostPop,4.1699003753952484e-07,3.4727156986224865e-20,2.9757116756136065e-11
UserKNN,1.9948225166956477e-05,7.343906962669285e-10,0.000724765305630077
ItemKNN,0.02062047673933386,0.18878972438495314,0.46254266206502137
UserKNN with means,3.2123470966159706e-07,6.545406913362642e-11,0.002926394860986498
BPR,9.654726790137994e-06,1.1632042899226994e-16,5.040092288165091e-10
MF,0.0015056895308921442,8.339597504210832e-06,0.02181693207661987
PMF,0.0022880623992771664,2.557515489733075e-05,0.03235925582391626
NMF,3.119394311819514e-05,4.2990075427592325e-10,0.0002531560971982088
WMF,6.718254766303937e-05,1.9980610313242106e-09,0.0004768011812540949
HPF,0.0018780937127383956,7.7316503944152e-09,4.216664601559248e-05
NeuMF,2.1058202887721476e-05,1.6502508077300616e-12,2.6111213812548487e-06
VAECF,3.58274568466906e-10,9.363471708681352e-18,1.018148086219446e-05
