,low-med,low-high,med-high
MostPop,0.00021081522640447692,2.8617193165790432e-18,1.5143288980780033e-13
UserKNN,1.310491870311689e-05,4.3289626018676473e-10,0.0007694377722479543
ItemKNN,0.7236703737157462,0.9119749329592008,0.617912789549748
UserKNN with means,8.068787958524476e-06,2.5776289549939873e-11,0.00013893037394083763
BPR,0.0005049325272124677,2.1677525555852126e-15,2.4318571236257238e-11
MF,0.015301961100706533,1.0016592604766427e-06,0.0002785524462069683
PMF,0.0017985871012790372,1.122265917980378e-05,0.020196240103451467
NMF,0.00013031519326336708,3.0988569758332123e-11,7.2791790365992575e-06
WMF,0.010759799252166791,9.4192551839131e-09,3.530426833842371e-06
HPF,0.018057040947343797,9.747872496857026e-10,1.937048670461445e-07
NeuMF,0.00011096297101834131,1.9585947059025144e-13,8.540493672329174e-08
VAECF,2.1389845695741704e-08,3.3579337795809807e-21,4.932573701632803e-10
