,low-med,low-high,med-high
Random,0.03952970602099819,0.2740216498752095,0.3946027578940967
MostPop,4.677796561783607e-10,3.629528987738113e-09,0.7552220788147398
UserKNN,0.037135328150575575,0.17581568674680406,0.47404068514999287
ItemKNN,0.027192576745092706,0.004195257804347167,0.4083107494696461
UserKNN with means,0.0012066007357246532,9.146560304910641e-05,0.3427205395645365
BPR,2.1738013825413648e-10,4.658796206607556e-08,0.35004099754654205
MF,,,
PMF,0.37932861698778364,0.003963268873439668,0.026796095070459915
NMF,0.37987196170308524,0.13878653249642436,0.013434202874020055
WMF,1.161097963898098e-13,2.739692309299739e-15,0.5226724296507421
HPF,8.112826542339112e-14,3.8114503785306304e-20,0.06306939631785699
NeuMF,1.2654776492533722e-09,6.178361771938965e-10,0.9124076554390104
VAECF,2.3257390102245375e-05,1.0721698786810974e-06,0.4772506311918343
