,low-med,low-high,med-high
Random,0.3081838791937676,0.16021438220567027,0.0010491529644256214
MostPop,5.3346714356036165e-67,2.573264692066589e-69,1.2592223333572558e-05
UserKNN,0.5770863392415257,0.032098372113416825,0.015390671209017017
ItemKNN,0.2560455949198271,0.0030867631698535155,0.014455994943386903
UserKNN with means,0.1416387297822156,0.0015167707064445523,0.0019989476939560285
BPR,4.3826146230285686e-44,2.9203439399667305e-39,0.07836762802718562
MF,,,
PMF,0.8556342729618265,0.009765485303719552,0.00023350287994083722
NMF,0.6981757723577944,0.6293241427889256,0.2680215627914836
WMF,0.7607662893161791,0.00011004741155331021,2.5269051448624417e-07
HPF,1.6032978702854413e-10,2.8603022805778774e-11,0.088116680617005
NeuMF,1.9609934505841617e-37,3.949764186976455e-40,0.0009068430006434527
VAECF,1.2161836088394656e-11,2.745638075349133e-14,0.012126822389404901
