,low-med,low-high,med-high
Random,0.05698279203384072,0.2304155113886956,0.0003766476098175566
MostPop,0.3400984162601767,0.00822981517786384,0.022425337245207448
UserKNN,0.004534604139856848,0.0014026690489065637,0.3011866139093387
ItemKNN,0.946866750373285,4.3359654118887036e-05,9.065053886400455e-07
UserKNN with means,0.07192066977790991,0.14937415243034582,0.9473617992010422
BPR,0.09344083014767816,0.01641270154866103,0.20565685575892176
MF,,,
PMF,0.017995104339869766,0.7267529394863003,0.049851825499494795
NMF,0.22751554687883677,0.6133452065794746,0.07417159961830487
WMF,0.051522947792805265,0.020771516828741753,0.371335212491816
HPF,0.7538802357884387,0.2955620774171003,0.11004832413812286
NeuMF,0.018136047244084626,0.0004826253591604949,0.055236639534665205
VAECF,0.7840596147045122,0.18769649576133593,0.06695092033793351
