,low-med,low-high,med-high
Random,0.04277042634888992,0.8406770577344438,0.020804947293410668
MostPop,2.752780313563992e-05,1.9201865096192154e-23,1.3601909269991961e-08
UserKNN,0.3300166937763518,6.95804251994945e-05,4.461541924236148e-07
ItemKNN,0.6791699689109642,0.001173684462391802,0.004357897264495081
UserKNN with means,0.8397304813793882,1.5895785350238242e-06,2.257622613363582e-07
BPR,5.474025701307597e-10,5.949625252711752e-30,3.8631803518429854e-07
MF,,,
PMF,0.35224173317193774,2.619076430669599e-10,7.415278338138121e-08
NMF,0.058515515007451856,0.55045560893067,0.008121273836463062
WMF,0.8947696298504346,9.010131551551946e-06,3.747479659680669e-06
HPF,5.405157665318464e-06,3.1237730977263177e-28,2.7312232049077378e-11
NeuMF,6.171849647603524e-11,2.97727533154043e-26,2.1962142159285046e-05
VAECF,1.7920250226498638e-05,2.2861330076912137e-20,2.8975289979244606e-07
