,low-med,low-high,med-high
Random,0.08314596927895695,0.07972366512923665,1.653699858745606e-05
MostPop,0.23941362084458248,0.00025496862570180775,0.0009859468633477784
UserKNN,0.005377408377052351,0.015624320871759334,0.8762978733855507
ItemKNN,0.9037837048762163,2.6013887386477796e-05,3.1668628617401623e-07
UserKNN with means,0.04529771883121326,0.15927792529819212,0.7448955241545555
BPR,0.03468026691185767,0.0010115510701712005,0.05182724602355891
MF,,,
PMF,0.029996852794808203,0.24788813013713648,0.00032567550232991994
NMF,0.8384459026670948,0.13562228086596184,0.04718478149348151
WMF,0.2235387300804816,0.1867349076944268,0.6794912840294248
HPF,0.4788631390479222,0.27468745873930966,0.5261934938955499
NeuMF,0.01229529627601443,0.0002833602866471021,0.050001220656808607
VAECF,0.9751693833465269,0.22134455650159185,0.1491058711092598
