,low,med,high
Random,0.0009739546036421043,0.002845947874380025,0.0024955902463177013
MostPop,0.006731592431940936,0.039873667052292824,0.06794655970604893
UserKNN,0.001898004278155003,0.002114251103221205,0.0016418857827750618
ItemKNN,0.014937626835593739,0.008557517494340637,0.005071585511835871
UserKNN with means,0.0017200337075153004,0.0012454523070731106,0.002341300359136328
BPR,0.006906799209281062,0.03988969423059691,0.06776920247033785
MF,0.002994642022334746,0.00595819392107059,0.0032073849345699767
PMF,0.004472962291610139,0.012081674520018891,0.014029929081518818
NMF,0.0017751614271151205,0.0019333725723765798,0.00032456994482310954
WMF,0.026031128592746568,0.03991379185305783,0.05852218583439773
HPF,0.0050376402437510145,0.031866440153726666,0.05422281958691871
NeuMF,0.004838735298678947,0.03754819163253388,0.06404078335863635
VAECF,0.01295888925840509,0.051879091572732995,0.09330911125428204
