,low,med,high
Random,0.0009824155992335898,0.0027379763552508826,0.002816609540614163
MostPop,0.0,0.02432233266665194,0.12208287091113076
UserKNN,0.0016260516089169855,0.0022732326770427518,0.0014247388629402892
ItemKNN,0.010106297107716447,0.010508290940533778,0.0038937703661780913
UserKNN with means,0.0027442478294622766,0.0012800088970898785,0.0011976939773769156
BPR,0.0,0.024359918742168644,0.122017588803733
MF,0.0008519239262579651,0.006343420188287009,0.004167214507035217
PMF,0.0027168679469045435,0.0110653181002448,0.0188159551577447
NMF,0.0011982945494919952,0.002102562472029956,0.000407837649690713
WMF,0.02940108207462342,0.03710281871378751,0.06334706222714279
HPF,0.006918360918854021,0.02656789192277911,0.06806911607545992
NeuMF,0.0,0.02298559701678026,0.11327120724784356
VAECF,0.01257487931136206,0.04222964495093738,0.12234531151501883
