,low,med,high
Random,0.0013588464879323876,0.0027004141199029916,0.0023634540554769044
MostPop,0.006731592431940936,0.0418542168066409,0.070284957381596
UserKNN,0.0018858248432934363,0.0021142511032212056,0.0016418857827750618
ItemKNN,0.01592728963895503,0.008966947950446507,0.005614111442373779
UserKNN with means,0.001995333542103765,0.0012513484771615431,0.002341300359136328
BPR,0.006906799209281062,0.04183322461804142,0.06993956531156181
MF,0.0030545934107117667,0.006196053110270554,0.004344896594372941
PMF,0.0048106284531007956,0.012993264580495456,0.016842100797021923
NMF,0.0017751614271151205,0.0019333725723765798,0.00032456994482310954
WMF,0.061751461621308325,0.06713580193277227,0.09804388960049941
HPF,0.006074268335094371,0.03772523895808945,0.06664275202456486
NeuMF,0.004838735298678947,0.03928636852788506,0.06565262279632851
VAECF,0.018230547992663843,0.06064493532979609,0.10826462302229255
