,low,med,high
Random,0.0013960444103184274,0.0027597902013337,0.002137818852127383
MostPop,0.0,0.025554874176352094,0.12672996237938647
UserKNN,0.001613766876347682,0.0022732326770427518,0.0014247388629402892
ItemKNN,0.011772702479277485,0.010333423304080207,0.005594728228571414
UserKNN with means,0.003040715094112823,0.0012800088970898785,0.0011976939773769156
BPR,0.0,0.025546815946142803,0.1265274873374334
MF,0.0008519239262579651,0.006592520057333303,0.005302508157361128
PMF,0.0030574534123850323,0.011975536029757029,0.021572447647158176
NMF,0.0011982945494919952,0.002102562472029956,0.000407837649690713
WMF,0.0678827113381866,0.06399023707074004,0.10092599451497167
HPF,0.008725703001883554,0.03171360760538485,0.08173436042153905
NeuMF,0.0,0.024264102280009994,0.11630687013754172
VAECF,0.01834797678065244,0.05058039360113909,0.13790273881961207
