,low,med,high
Random,0.0018658643117541083,0.0019705171249921726,0.0028662324131058896
MostPop,0.9693159513542678,0.9649056735071118,0.9692316437835525
UserKNN,0.970882142474392,0.9675437362098633,0.9720799586016656
ItemKNN,0.9736033830772717,0.964614485999588,0.9684426834423523
UserKNN with means,0.970371026617478,0.9632964089744762,0.9693320522896856
BPR,0.9694429647760195,0.9649185287178794,0.9690850384322583
MF,0.9726275568193166,0.9699671604621415,0.9746966263492896
PMF,0.9742485916981424,0.9696850118072982,0.9728324893204715
NMF,0.9723297363510277,0.9682594688804274,0.9706542064218335
WMF,0.9711639126299967,0.9659409682735208,0.9733626954470951
HPF,0.9692630474207032,0.9650204976420111,0.9680781694777247
NeuMF,0.9698830308286331,0.9642735574765273,0.9688346290287911
VAECF,0.9689177862042927,0.9650719829360799,0.9701607911154952
