,low,med,high
MostPop,0.2755710845267837,0.3155990943408576,0.3088516487369514
UserKNN,0.0037482896416157676,0.00025893512877883765,0.0
ItemKNN,0.046191407790368115,0.037024088985538724,0.005354630171555214
UserKNN with means,0.002138098052878068,0.0,0.0
BPR,0.3156632015081233,0.33634733035717007,0.32010272935104084
MF,0.1245349845350903,0.08196460456224172,0.03991786711375444
PMF,0.19717975492959816,0.19423949983839303,0.20381170697238762
NMF,0.011233600891115402,0.005477593871678538,0.0035235902946175743
WMF,0.26313185082590307,0.2861770631965125,0.2784580144973076
HPF,0.36825511316312853,0.3725917283509344,0.362069248074331
NeuMF,0.331930900876496,0.35474728302570896,0.3400222009393595
VAECF,0.3569558532450976,0.375660439127135,0.38111061631026977
