,low,med,high
Random,0.08248180819175617,0.034905804921481556,0.013662361357588191
MostPop,0.27559266894736306,0.31356875159550734,0.3148862939033012
UserKNN,0.003751395101136576,0.0002588636589668645,0.0
ItemKNN,0.05943711860676345,0.033406459833867294,0.0029773659165231213
UserKNN with means,0.002139869468000585,0.0,0.0
BPR,0.3106684780347915,0.33720708343449657,0.32249764798043545
MF,0.13500028688000357,0.08124519534186583,0.0316541006030627
PMF,0.2025031896915591,0.20855307264239728,0.1981913856759282
NMF,0.012286811022750622,0.005108725034765347,0.0035823180878892785
WMF,0.2661442349993342,0.2817287348729028,0.2887703494366586
HPF,0.3767720110538695,0.3713437103124084,0.35729883167057935
NeuMF,0.3299623687959205,0.35575428937248277,0.33895003028103504
VAECF,0.3563024507186341,0.3797351114136625,0.3695273502253941
