,low,med,high
MostPop,0.3967603740052679,0.44404263632975505,0.42426735257858306
UserKNN,0.0037845675810519027,0.00025893512877883765,0.0
ItemKNN,0.13492384919741102,0.07481121961268677,0.009574773059243527
UserKNN with means,0.0021528898215433037,0.0,0.0
BPR,0.47742596442891805,0.48868664199597966,0.44387531474832487
MF,0.14796546442548492,0.09085729205207085,0.04166397961100604
PMF,0.2733999537046831,0.2590794925056802,0.25108764905575115
NMF,0.012514954086489402,0.005759797203251953,0.0035235902946175743
WMF,0.37472143245167794,0.3961494020285202,0.37540270631055406
HPF,0.6002037146691424,0.6069183890469932,0.5664332898318721
NeuMF,0.5005333105489261,0.5308413263782598,0.4924182442042529
VAECF,0.5837530538882126,0.5947858584635127,0.5794420590448156
