,low,med,high
MostPop,0.4139231120004891,0.4376563442846451,0.42623327067202404
UserKNN,0.003787703096860562,0.0002588636589668645,0.0
ItemKNN,0.16161763906421683,0.06769869924810806,0.004284516056941156
UserKNN with means,0.002154673491652287,0.0,0.0
BPR,0.4922855466172298,0.48419759967502146,0.44248212265393094
MF,0.16288462349048635,0.08888278548051765,0.032726331009726245
PMF,0.2932994395904029,0.2563442037456525,0.2394200929089925
NMF,0.013593942991189305,0.00538261596522773,0.0035823180878892785
WMF,0.39229649543105843,0.3870068857738784,0.38524443429472505
HPF,0.6304637817555518,0.602609111435592,0.5491169795160054
NeuMF,0.5159871743162439,0.5285995674016088,0.48367550512265095
VAECF,0.6052657778224634,0.5964513427876516,0.5529429362802705
