,low,med,high
Random,0.05869135246617355,0.03645412617648517,0.01784098385155178
MostPop,0.9400442966598607,0.948577085768216,0.9574796353892958
UserKNN,0.9506554648012904,0.9569842139834277,0.9614002486068323
ItemKNN,0.9487998241629029,0.9522626020386926,0.9512124484966685
UserKNN with means,0.9526320963995502,0.9598687627503178,0.9635578376510054
BPR,0.9425457998951083,0.9500131655779722,0.9582597071728834
MF,0.9521262186214929,0.9567051858439147,0.9597077996848846
PMF,0.9645746260559553,0.9682204334858039,0.9705696360109376
NMF,0.9522302154248377,0.9584488000014851,0.9630968189730252
WMF,0.9544724553710222,0.9602352262512219,0.9645037542011048
HPF,0.9485286664697969,0.9532401104341338,0.9585684571055002
NeuMF,0.943514295107779,0.9506343904325719,0.9569780178212112
VAECF,0.9401825894517915,0.9509217544857664,0.956833047704131
