,low,med,high
MostPop,0.9418312615237872,0.9478638263312923,0.9578285753389749
UserKNN,0.9506374889269608,0.95698028480494,0.9614249054611061
ItemKNN,0.95109074377446,0.9516041207809337,0.9508933351093255
UserKNN with means,0.9533121715180025,0.9594377178110989,0.9641691570339378
BPR,0.9438433718762747,0.9495225981439939,0.9584294370604279
MF,0.9526842050439647,0.9561349799829485,0.9608642987338849
PMF,0.9642152104148776,0.9680160203343352,0.9705215856227462
NMF,0.9525622303571074,0.958101502821565,0.9638062320433692
WMF,0.9559851757520414,0.959510430897143,0.9651656859471477
HPF,0.949248221228176,0.9526783749040596,0.9595367585529815
NeuMF,0.9440797713587217,0.9502782889667093,0.9574784331897727
VAECF,0.9409824277195653,0.9501564518466558,0.9583301732666304
