,low,med,high
Random,0.020158630483010604,0.02541648463660125,0.007721718579194142
MostPop,0.132129687756122,0.27403337130628924,0.33265619489053555
UserKNN,0.006801446788307969,0.009464082333710802,0.00156310506072825
ItemKNN,0.0072968645415973895,0.008619265804474897,0.008156389384031454
UserKNN with means,0.008910268592589254,0.0069131036473303945,0.0011194534398229186
BPR,0.18750765595635485,0.3249756749870475,0.35218525002226087
MF,,,
PMF,0.012504179840487722,0.012334832177553087,0.0034844161529812407
NMF,0.005551036000464436,0.0076841179622441575,0.00564018343380224
WMF,0.2001761975236901,0.22245116255733144,0.21275392227833748
HPF,0.277920050349646,0.339585293555759,0.35859686288499676
NeuMF,0.20862808448275028,0.3390397793376937,0.393471430927702
VAECF,0.2968754157644592,0.3764680562533841,0.3956447626913951
