,low,med,high
Random,0.016037223463700064,0.025312728180647125,0.02112793013885791
MostPop,0.20716625294921936,0.2844756256466986,0.2804897193433973
UserKNN,0.010415765939794784,0.005028601093372959,0.006609712276933436
ItemKNN,0.013382484434642824,0.006592016498243737,0.004812129870545562
UserKNN with means,0.012278505734179521,0.003792845717734141,0.002390068332728352
BPR,0.2508504388297361,0.3351668060499191,0.3227547136841997
MF,,,
PMF,0.014544807321884314,0.011515001622712087,0.005736046571080536
NMF,0.0071347572543478755,0.009636596616501016,0.0037747901217505993
WMF,0.15510262788089463,0.24248857731986823,0.25057895928365026
HPF,0.2601107637429748,0.354621482598787,0.37843142999939006
NeuMF,0.2705024857424724,0.3498155848617105,0.3512132414499372
VAECF,0.32563357541836524,0.37930131824131824,0.3882197146699204
