,low,med,high
Random,0.020287395460969467,0.023557930160514336,0.01284749271285588
MostPop,0.15176906808194685,0.3710585541081608,0.4361913149942319
UserKNN,0.010016621348761579,0.014769750818613443,0.002273000727418253
ItemKNN,0.012999724499241427,0.01902525760839727,0.027625824232109332
UserKNN with means,0.015493394076388677,0.01399883135547397,0.003875248425672489
BPR,0.23617147386471052,0.4562359953708439,0.4786160002390591
MF,,,
PMF,0.012524121789397878,0.012703331658062303,0.0034844161529812407
NMF,0.00558081676137711,0.007852728910821734,0.00564018343380224
WMF,0.307445507265745,0.301011460555405,0.2816657569276802
HPF,0.3892810924808859,0.5072321242896585,0.5442226893718474
NeuMF,0.2789540206124453,0.489280552573685,0.5500502578740635
VAECF,0.4484573678897572,0.5557376980590774,0.59351114403511
