,low,med,high
Random,0.019138161260233873,0.024201353223569366,0.012066457724426372
MostPop,0.14071994341564406,0.37496351691976,0.43552555122573694
UserKNN,0.014432370561406282,0.012170879802644106,0.005653864562681561
ItemKNN,0.012869934182292158,0.017615174715631877,0.03198586322735477
UserKNN with means,0.019511126998225176,0.012463354621606935,0.004463945705437089
BPR,0.2420998352948979,0.4540040018457686,0.4793836193840978
MF,,,
PMF,0.013038594492190579,0.012379217109096159,0.003942287097086966
NMF,0.0065999658867481525,0.007682106453987606,0.005132901678933582
WMF,0.3092869222555726,0.31376096368484957,0.24157583254951898
HPF,0.4089670276573072,0.5054951812657908,0.5297475832670289
NeuMF,0.29998486065772834,0.4879215383214729,0.5330964605854167
VAECF,0.45781890031795475,0.5547129754133964,0.5872237795439555
