,low,med,high
Random,0.016733380537460485,0.0257474580882493,0.010729478314722846
MostPop,0.6419532063440474,0.6493167996108061,0.6671180964104845
UserKNN,0.6694122572673479,0.6475917656223311,0.6397255715464817
ItemKNN,0.6206327478225376,0.6201332131126699,0.6593526403657094
UserKNN with means,0.6706260653938634,0.6564544259899827,0.6569581276746344
BPR,0.6548252583365686,0.667715979825683,0.6774808649305244
MF,,,
PMF,0.6648590983743002,0.6463263565416854,0.66152348933461
NMF,0.6415262190458668,0.6323231430439757,0.6462883347132743
WMF,0.6784552791957357,0.6639723697259835,0.6572493786396599
HPF,0.7102961037825669,0.7079144407169233,0.7199989216531005
NeuMF,0.6572208588790066,0.6748389969317156,0.6899017991509301
VAECF,0.6945705724217538,0.6925288364001648,0.7068455777120513
