,low,med,high
Random,0.017752986106691536,0.028150659268462906,0.016919494495004295
MostPop,0.6170978497594337,0.6480542958395119,0.6890476601743161
UserKNN,0.6430452163369039,0.6358342564348802,0.6723026431897803
ItemKNN,0.6190471264918997,0.622081644712091,0.643067002327736
UserKNN with means,0.6480716721102914,0.6465558036369415,0.6835632800333888
BPR,0.6247508681190052,0.6701923388849721,0.7063138571249727
MF,,,
PMF,0.6353811047131098,0.6422811229201084,0.6815544053537097
NMF,0.6402280701169433,0.6259678681518517,0.6446778372490616
WMF,0.6554339556976078,0.6544806408089286,0.6866857767601859
HPF,0.6734352372173719,0.7067319638461319,0.7522489675100077
NeuMF,0.6326100486334607,0.6801964137489207,0.7101509855268769
VAECF,0.6628223837339757,0.6943294878354472,0.7302350483310407
