,low,med,high
Random,0.01758665581970397,0.02614469398702895,0.008684495336140392
MostPop,0.6389660911246356,0.6479632473183119,0.6741972264218866
UserKNN,0.6675366245588037,0.6463865429878748,0.6451947177508868
ItemKNN,0.6205728530834929,0.6196628580530139,0.6608261114459407
UserKNN with means,0.6714500554947066,0.6557517807501362,0.6582203190481026
BPR,0.6511790918982979,0.6672400666062402,0.6825917053201725
MF,,,
PMF,0.661049943542359,0.6440496913619402,0.6721596166766058
NMF,0.635078055751793,0.6335343130285473,0.6491010625864889
WMF,0.673391400455573,0.664338114461818,0.6612062938563782
HPF,0.7055388348840956,0.7109116382319386,0.7157564777467789
NeuMF,0.656494557210655,0.6748950508865316,0.690491454883881
VAECF,0.6933285596768916,0.6935636152071996,0.7049770720529329
