,low,med,high
Random,7.795541726138465,7.8513574974583,7.7908813509562505
MostPop,6.7019863168871545,22.675693344351306,52.0589827471626
UserKNN,1.4312774098617038,1.6122984809952992,1.559052953661627
ItemKNN,1.3784475154261968,1.5510203793757535,1.5935352827702478
UserKNN with means,1.442413038953751,1.6157152389028815,1.6074743166553735
BPR,7.7884948251197645,7.448555315486635,6.889143426369355
MF,1.390399121175113,1.5581348634983438,1.5073708735824336
PMF,1.6258252577219454,1.6501558777939587,1.593683413293691
NMF,2.3996422649501814,2.4326543032173573,2.3238349308985384
WMF,6.678924911129496,6.2922546341300105,5.824467053495953
HPF,7.7652050199941325,7.788826691976069,7.687988671275482
NeuMF,7.567728915720813,7.519967592086972,7.336579551445145
VAECF,7.795541726138465,7.8513574974583,7.7908813509562505
