movie,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
104,0.5675496688741721,10,6040,15,69,50,5669,280,1055,50,5687,2406,4322,2746
44,0.4951986754966887,7,6040,0,119,8,5525,181,1844,0,5857,1855,2580,2019
124,0.49503311258278143,11,6040,0,121,0,5573,96,703,0,538,1656,3814,2137
64,0.477317880794702,7,6040,0,21,0,5210,44,269,0,24,1440,3138,1816
113,0.4423841059602649,9,6040,0,40,0,2688,36,36,0,0,1003,2258,1092
48,0.4392384105960265,14,6040,0,74,9,4361,115,694,0,4820,1254,3279,1172
97,0.43857615894039736,7,6040,0,42,0,4538,17,52,0,260,1117,2670,1243
132,0.4288079470198676,12,6040,2,92,6,3493,161,773,1,1950,1368,1858,1081
22,0.42764900662251654,17,0,0,26,0,2817,34,88,0,0,1045,296,1314
128,0.42682119205298014,14,6040,0,98,0,4465,118,517,1,3394,1399,1819,1178
189,0.42019867549668877,13,6040,0,14,0,3229,7,1,0,0,738,2684,941
127,0.4162251655629139,5,0,0,102,1,2385,125,1777,0,5931,1240,1042,1117
51,0.4160596026490066,10,0,0,60,0,2310,79,149,0,90,1296,3214,1307
38,0.40711920529801326,15,0,10,22,8,675,90,1593,45,3781,1329,2949,1143
92,0.40447019867549666,17,0,0,55,2,565,83,797,22,130,643,86,470
134,0.3922185430463576,13,0,0,28,0,1400,45,51,0,1,831,1856,1228
5,0.3837748344370861,18,0,0,70,0,11,34,229,3,302,498,35,798
23,0.38145695364238413,14,0,0,72,0,356,107,2361,120,5877,773,734,559
246,0.37880794701986753,5,0,0,57,0,568,9,1,0,7,818,649,811
116,0.37715231788079473,10,0,0,35,0,69,23,3,0,0,382,1370,1105
26,0.37566225165562916,2,0,0,29,0,17,28,55,0,0,243,1274,338
60,0.37251655629139074,8,0,0,11,0,441,35,53,0,0,558,992,525
184,0.3710264900662252,7,0,1,84,5,212,74,200,1,0,830,1509,955
167,0.36870860927152316,8,0,0,109,0,115,102,2854,124,6016,1178,1674,615
669,0.36804635761589405,18,0,0,163,4,1075,277,2303,55,5991,970,1578,930
171,0.36324503311258277,10,0,0,26,1,386,122,532,0,0,463,284,700
273,0.3610927152317881,12,0,0,48,0,2,11,8,0,0,880,0,707
244,0.35943708609271524,6,0,0,69,1,64,227,827,0,0,960,1,664
217,0.34735099337748343,7,0,0,21,0,141,48,90,0,43,454,187,798
40,0.3438741721854305,9,0,0,68,0,8,27,75,0,0,692,33,600
209,0.3350993377483444,8,0,0,60,0,146,51,46,0,42,682,645,698
62,0.3304635761589404,7,0,0,9,0,87,3,0,0,0,135,57,396
151,0.3302980132450331,14,0,0,20,0,0,5,26,0,0,338,63,317
68,0.3185430463576159,11,0,0,28,7,4,100,296,0,5,598,8,423
714,0.30132450331125826,9,0,0,42,0,16,91,83,0,2,360,620,338
743,0.2980132450331126,15,0,0,106,0,10,33,76,6,143,452,29,317
218,0.2978476821192053,9,0,0,6,0,0,8,8,0,0,311,0,194
84,0.2955298013245033,16,0,0,14,0,0,0,1,0,0,533,0,48
259,0.29519867549668877,8,0,0,60,1,0,90,1755,231,2196,560,0,306
381,0.2899006622516556,8,0,0,15,0,0,28,17,0,0,253,0,137
15,0.28658940397350996,14,0,0,37,0,0,112,73,0,0,420,31,110
160,0.28642384105960267,7,0,0,10,0,209,23,83,0,0,137,397,220
733,0.2860927152317881,7,0,0,11,0,0,3,14,0,0,37,105,120
0,0.2855960264900662,7,0,0,61,2,234,41,260,28,352,468,595,370
9,0.28443708609271523,6,0,0,60,0,3,95,364,0,0,184,40,334
662,0.28410596026490065,14,0,0,70,1,41,66,53,0,0,243,373,218
277,0.28394039735099336,14,0,0,16,0,0,3,0,0,0,40,0,127
4,0.281953642384106,11,0,0,14,0,0,4,1,0,0,448,206,521
213,0.2809602649006622,13,0,0,32,0,0,53,111,0,0,459,156,83
434,0.2801324503311258,12,0,0,87,0,1,98,460,4,8,396,133,243
420,0.2763245033112583,5,0,0,79,0,317,136,909,78,2315,394,1287,654
210,0.2758278145695364,10,0,0,20,0,0,69,344,8,0,205,15,170
67,0.27433774834437086,15,0,0,65,0,0,59,232,0,2,84,77,190
78,0.27350993377483446,12,0,0,11,0,0,6,4,0,0,197,1,132
264,0.2731788079470199,10,0,0,8,0,0,7,10,0,0,227,8,47
186,0.2695364238410596,11,0,0,29,0,0,4,73,0,0,124,0,174
711,0.26937086092715234,8,0,0,6,0,0,1,8,0,0,46,0,278
206,0.26473509933774836,8,0,0,66,0,0,151,305,1,0,152,0,3
50,0.26241721854304634,14,0,0,23,0,0,74,221,15,0,585,6,178
547,0.2596026490066225,7,0,0,27,0,0,3,51,0,0,289,0,428
280,0.25629139072847684,10,0,0,35,0,0,3,126,0,0,194,199,198
27,0.25596026490066226,10,0,0,10,0,0,89,176,0,0,186,58,83
